asof_date,symbol,reference_policy_weight,acceptable_band_min,acceptable_band_max,target_weight,current_weight,constraint_breach,abstain,abstention_reason,band_methodology,regime_risk_state,alpha_required,constraint_integration_status,order_instruction,research_only,not_trading_advice,not_for_execution
2026-06-30,000002.SZ,0.0225960981,0.0090384392,0.0361537569,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000063.SZ,0.0189782003,0.0075912801,0.0303651205,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000100.SZ,0.0258334001,0.01033336,0.0413334401,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000157.SZ,0.0306748169,0.0122699267,0.049079707,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000166.SZ,0.0324627238,0.0129850895,0.0519403581,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000333.SZ,0.0340840789,0.0136336316,0.0545345263,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000338.SZ,0.0271400045,0.0149270025,0.0393530066,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000425.SZ,0.025106647,0.0100426588,0.0401706353,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000568.SZ,0.0238203233,0.0095281293,0.0381125173,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
2026-06-30,000596.SZ,0.0236724078,0.0094689631,0.0378758524,,,not_evaluated_no_current_holdings,false,,risk_budget_band_from_reference_policy_volatility_and_regime,normal_risk_review_only,false,constraints_applied,none,true,true,true
